id,text,timestamp,source,symbols,company_names,url,verified
1.01968E+18,#Alcierre $IPC avanza 0.61% a 49003 pts. Alzas $ELEKTR $CEMEX $GFNORT Bajas $LAB $CUERVO $PEOLES SIC $CHKP  $ABX… https://t.co/6cRbDxPj2z,Wed Jul 18 20:26:17 +0000 2018,GBMhomebroker,ABX,Barrick Gold Corporation,https://twitter.com/i/web/status/1019679775181430786,TRUE
1.01968E+18,Najarian Brothers See Unusual Option Activity in $HLT $FTI $BSX $WBA &amp; $MSFT https://t.co/6frU0jUT7g via @investitute,Wed Jul 18 20:28:43 +0000 2018,jonnajarian,HLT,Hilton Worldwide Holdings Inc.,http://zpr.io/6XB6K,TRUE
1.01968E+18,RT @tpetruno: Transports on fire today on earnings optimism:  UnitedAir $UAL +8.8% $CSX +7.1 Delta $DAL +3.3 NorfolkSouthern $NSC +3.2 Amer…,Wed Jul 18 20:30:46 +0000 2018,jennablan,AAL,American Airlines Group Inc.,,TRUE
1.01968E+18,Najarian Brothers See Unusual Option Activity in $HLT $FTI $BSX $WBA &amp; $MSFT https://t.co/5hBnZjjHB0 via @investitute,Wed Jul 18 20:30:53 +0000 2018,petenajarian,HLT,Hilton Worldwide Holdings Inc.,http://zpr.io/6XB6K,TRUE
1.01968E+18,Goldman Sachs vs. Morgan Stanley - which bank will win the battle for M&amp;A dollars? https://t.co/8uKgZFbTc3… https://t.co/xBb1lMTMzT,Wed Jul 18 20:31:36 +0000 2018,ScottGamm,MS,Morgan Stanley,https://www.thestreet.com/video/goldman-sachs-vs-morgan-stanley-the-battle-for-ma-dollars-14655129,TRUE
1.01968E+18,RT @ScottGamm: Goldman Sachs vs. Morgan Stanley - which bank will win the battle for M&amp;A dollars? https://t.co/8uKgZFbTc3 @TheStreet @MBro…,Wed Jul 18 20:31:58 +0000 2018,TheStreet,MS,Morgan Stanley,https://www.thestreet.com/video/goldman-sachs-vs-morgan-stanley-the-battle-for-ma-dollars-14655129,TRUE
1.01968E+18,Kinder Morgan reports quarterly loss from Oklahoma impairment $KMI https://t.co/0Qo8kricjX via @houstonchron,Wed Jul 18 20:32:17 +0000 2018,JDBlum23,KMI,Kinder Morgan,https://www.chron.com/business/energy/article/Kinder-Morgan-reports-quarterly-loss-from-13085937.php?utm_campaign=twitter-desktop&utm_source=CMS%20Sharing%20Button&utm_medium=social,TRUE
1.01968E+18,RT @realmoney: Bath Bombs and Muscle Creams: How #Beauty Is Becoming the Fast Lane for Cannabis Growth by #RealMoney Exectutive Editor @dar…,Wed Jul 18 20:33:21 +0000 2018,dariasolo,SBUX,Starbucks Corporation,,TRUE
1.01968E+18,After hours earnings movers: $IBM $EBAY $AXP https://t.co/p2ktJacPyt,Wed Jul 18 20:35:22 +0000 2018,CNBCClosingBell,AXP,American Express Company,,TRUE
1.01968E+18,RT @geoffreymorgan: Kinder Morgan Inc. $KMI executive chairman Rich Kinder says the firm will use cash from the sale of its Trans Mountain…,Wed Jul 18 20:45:32 +0000 2018,TaraNWeber,KMI,Kinder Morgan,,TRUE
1.01968E+18,Closing Bell hit talked $EBAY next up a wrap up of Delivering Alpha - Everyday its about Delivering Alpha https://t.co/vHU2NAI8H1,Wed Jul 18 20:45:56 +0000 2018,petenajarian,EBAY,eBay Inc.,https://twitter.com/PetesAssistant/status/1019681646591795200,TRUE
1.01969E+18,Didn't see this tweet until now Dan one could have closed this trade for ~ $3.20 before the close most of max val… https://t.co/1tX5qHxw81,Wed Jul 18 20:48:04 +0000 2018,Michael_Khouw,AXP,American Express Company,https://twitter.com/i/web/status/1019685254922100737,TRUE
1.01969E+18,In 10 minutes we'll kick off our $EBAY Q2 2018 earnings webcast. Follow live tweets here or listen at https://t.co/t2ELrR0Rur,Wed Jul 18 20:50:00 +0000 2018,eBayNewsroom,EBAY,eBay Inc.,https://bit.ly/2LgTOU3,TRUE
1.01969E+18,Our earnings webcast has begun. Follow along for @eBay CEO @DevinWenig’s remarks on $EBAY’s Q2 results. https://t.co/t2ELrR0Rur,Wed Jul 18 21:01:47 +0000 2018,eBayNewsroom,EBAY,eBay Inc.,https://bit.ly/2LgTOU3,TRUE
1.01969E+18,Wenig: In Q2 we continued to execute our strategy while pursuing significant opportunities in advertising and paym… https://t.co/KmgxSGlZZS,Wed Jul 18 21:04:17 +0000 2018,eBayNewsroom,EBAY,eBay Inc.,https://twitter.com/i/web/status/1019689337166991360,TRUE
1.01969E+18,Wenig: With the addition of buyers from our recent acquisition in Japan active buyers grew 4% on a pro-forma basis… https://t.co/Tt4EvgtVv0,Wed Jul 18 21:05:29 +0000 2018,eBayNewsroom,EBAY,eBay Inc.,https://twitter.com/i/web/status/1019689639622463488,TRUE
1.01969E+18,Wenig: We are focusing to an even greater extent on $EBAY initiatives that have the greatest impact on our customer… https://t.co/ELxAjVny0A,Wed Jul 18 21:05:41 +0000 2018,eBayNewsroom,EBAY,eBay Inc.,https://twitter.com/i/web/status/1019689691069734920,TRUE
1.01969E+18,Wenig: We continue to build on our structured data efforts including our new product-based commerce experience. $EBAY,Wed Jul 18 21:05:58 +0000 2018,eBayNewsroom,EBAY,eBay Inc.,,TRUE
1.01969E+18,Bulls wake up to profits in $HLT https://t.co/ubHoPFe1ta via @investitute,Wed Jul 18 21:06:12 +0000 2018,petenajarian,HLT,Hilton Worldwide Holdings Inc.,http://zpr.io/6XBEq,TRUE
1.01969E+18,Wenig: We continue to scale Guaranteed Delivery in the US and we recently launched in Australia. We exited Q2 with… https://t.co/el3lv7pNYa,Wed Jul 18 21:06:39 +0000 2018,eBayNewsroom,EBAY,eBay Inc.,https://twitter.com/i/web/status/1019689932246388737,TRUE
1.01969E+18,Bulls wake up to profits in $HLT https://t.co/Ffp6w6UEBF via @investitute,Wed Jul 18 21:07:46 +0000 2018,jonnajarian,HLT,Hilton Worldwide Holdings Inc.,http://zpr.io/6XBEq,TRUE
1.01969E+18,Following @Target's announcement today that it experienced its largest online shopping day of 2018 on @amazon's Jul… https://t.co/LEOoNJokaB,Wed Jul 18 21:08:39 +0000 2018,MoodysInvSvc,TGT,Target Corporation,https://twitter.com/i/web/status/1019690437777543169,TRUE
